well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,source,county
ANT-01,0.003,"1,1,1-Trichloroethane",1/28/2008,UG/L,<,0.003,34.62447222,-118.1850556,MUNICIPAL,USGS, Los Angeles County
ANT-02,2,"1,1,1-Trichloroethane",1/28/2008,UG/L,<,0.002,34.55838889,-118.0319444,MUNICIPAL,USGS, Los Angeles County
ANT-03,0.003,"1,1,1-Trichloroethane",1/28/2008,UG/L,<,0.003,34.66408333,-118.1880278,MUNICIPAL,USGS, Los Angeles County
ANT-04,2,"1,1,1-Trichloroethane",1/29/2008,UG/L,<,0.002,34.80922222,-118.2549722,MUNICIPAL,USGS, Los Angeles County
ANT-05,0.003,"1,1,1-Trichloroethane",1/29/2008,UG/L,<,0.003,34.64745556,-118.1448833,MUNICIPAL,USGS, Los Angeles County
ANT-06,0.003,"1,1,1-Trichloroethane",1/29/2008,UG/L,<,0.003,34.71340278,-118.1295806,MUNICIPAL,USGS, Los Angeles County
ANT-07,2,"1,1,1-Trichloroethane",1/29/2008,UG/L,<,0.002,34.835,-118.2158333,MUNICIPAL,USGS, Kern County
ANT-08,0.003,"1,1,1-Trichloroethane",1/29/2008,UG/L,<,0.003,34.71941667,-118.2925,MUNICIPAL,USGS, Los Angeles County
ANT-09,42,"1,1,1-Trichloroethane",1/30/2008,UG/L,,0.002,34.66938889,-118.4225,MUNICIPAL,USGS, Los Angeles County
ANT-09R,0.001,"1,1,1-Trichloroethane",4/18/2018,MG/L,<,0.001,34.66936111,-118.4225278,MUNICIPAL,USGS, Los Angeles County
ANT-10,0.003,"1,1,1-Trichloroethane",1/30/2008,UG/L,<,0.003,34.684125,-118.0661389,MUNICIPAL,USGS, Los Angeles County
ANT-11,0.003,"1,1,1-Trichloroethane",1/30/2008,UG/L,<,0.003,34.751325,-118.0843056,MUNICIPAL,USGS, Los Angeles County
ANT-12,2,"1,1,1-Trichloroethane",1/30/2008,UG/L,=,0.002,34.6645,-118.0728056,MUNICIPAL,USGS, Los Angeles County
ANT-13,0.003,"1,1,1-Trichloroethane",1/30/2008,UG/L,<,0.003,34.693475,-117.9719278,MUNICIPAL,USGS, Los Angeles County
ANT-14,0.003,"1,1,1-Trichloroethane",1/31/2008,UG/L,<,0.003,34.78411111,-118.1663889,MUNICIPAL,USGS, Los Angeles County
ANT-15,0.002,"1,1,1-Trichloroethane",1/31/2008,UG/L,<,0.002,34.785,-118.6093056,MUNICIPAL,USGS, Los Angeles County
ANT-16,0.003,"1,1,1-Trichloroethane",1/31/2008,UG/L,<,0.003,34.75813889,-118.1698611,MUNICIPAL,USGS, Los Angeles County
ANT-17,0.002,"1,1,1-Trichloroethane",1/31/2008,UG/L,<,0.002,34.68887222,-118.1371389,MUNICIPAL,USGS, Los Angeles County
